CmteID,entity_id
C00493239,16d1d001b4ba487c894b978f0191636a
C00356378,16ddcd573c824f11bf6d4e4bf243fcbe
C00364901,178edf596d6443ea95262c3606deaea5
C00492165,17ff7339681646d497966cb615990f22
C00491985,18617d11247548cc981bf89a50a92219
C00378356,1915c94342b64b72b35b417778cb5c7a
C00430934,1927b0277602411da8d2a0050b3c172f
C00455717,1a045bbdb4af4d25b0f07322ec59bd78
C00299149,1a5c0786629848bf961a075ef83400a5
C00439398,1a82c65424d4492eb14f484f50317177
C00457044,1bf4875328eb4910b5b585e41c0c897e
C00493924,1c363e2e6c1d49ab972cb2a084cd92e3
C00426809,1cbfdfbf32284d2d9468afab31eb1df0
C00410357,1d1a93c51a0f4c748fbd13ddfd4c647f
C00511196,1d1c12df45984293b60a040181ac231b
C00467472,1e60e348d4444d7cbc1ca9c72a226bba
C00385377,1f399f45650f4e3cb3f31d830d645a89
C00464727,1fd892f6fba0433da6db1ba9fa969f7c
C00317479,20a6d0b9768b4d01a73c7ba6d7152204
C00453589,20ec1bed10ee437bafd960d80a2dccb6
C00526301,22a4f5a7316245dc9ec38941732d398e
C00409805,232901b5e78840cfaaf4389cf6e0df95
C00416131,2356932a051f4ab796df1f26878f6f4a
C00497594,2389345c735a4ec7bc6400105ccba2cd
C00448787,23c12230cd9348dbb4a080c6e0d1bdea
C00402602,244c6f7f33a048968dbea9cf0b00282a
C00365270,25c7a21fc53b400e8beaf99955f5bdef
C00455832,25cd8e6a219a4e3aa0e5eeb536b0acf4
C00409185,26787e20a4c547b68922aa51339963f9
C00506535,26baf916498d475c9e059292b2aa9221
C00366781,28852ad81c0d41a89363f7771d5dc028
C00427930,288f135cb7e54c01a72e7ab6e81f0a30
C00469411,28cf1bb4dfa148e7a025513bbda51f7e
C00481242,28e6cce459e74dcbb575fa05def946e3
C00437061,2a42e601cc4545e092aab2a057947c88
C00397067,2ade542c9ee6486ca063f8b0333e7608
C00516013,2bcadb6dfa234cbaa3b82725eb5fc4a2
C00343947,2c44128cb0a74cb28409b806aee12aef
C00490235,2d48b2c73ef54ea18cdb6b6ab6004be9
C00369777,2de58c0bd50b4473847ede0c1d922977
C00501478,2df904c75ad94bb792b817aceda05e8f
C00326439,2e044c0ecd734c869d20439497cd1712
C00502591,2ee714bfa1af48a3885846c078a81800
C00457648,2ef41e7182ba4db6b5c27f18fd178e31
C00342386,2f59328ec8994c10abf4ecbd3d570491
C00404418,2f662139b6c542b2b72de2a480680408
C00474841,2fbb2c967019428a807acafa1c6d39cc
C00345033,30196e63e3524d9a9d0a0be8672fa6c0
C00436410,30ffbb5bc8784aab9dc7c64ceea5aaf6
C00526046,3165dbb9c7c344a985fd38bc6ba0ce81
